Accession	20180307_11_Tissue_untreated_1	20180307_12_Tissue_untreated_2	20180307_13_Control_untreated_1	20180307_14_Tissue_untreated_3	20180307_15_Control_treated_1	20180307_16_Tissue_untreated_4	20180307_17_Control_untreated_2	20180307_18_Tissue_untreated_5	20180307_19_Control_treated_2	20180307_20_Tissue_untreated_6	20180307_21_Control_untreated_3	20180307_22_Tissue_untreated_7	20180307_23_Tissue_untreated_8	20180307_24_Tissue_untreated_9	20180307_25_Control_untreated_4	20180307_26_Control_treated_3	20180307_27_Control_treated_4
Protein_100	52662.61165	44792.25898	80636.28023	50395.64359	61421.95759	68427.79331	60589.91117	66361.31735	64040.09776	66716.50295	63148.6327	54604.89817	61795.92123	57763.2837	74122.73318	53849.96234	71655.90429
Protein_101	36354.1543	44527.48959	67835.48347	50845.67507	53131.7155	48659.9072	39573.765	72671.81886	58676.22386	61707.82184	54400.28064	43811.42531	44823.57114	56349.61196	53217.15077	51297.08522	62541.9048
Protein_102	17986.93863	10167.58854	14249.85445	11868.92515	10402.50297	10240.81341	6583.059235	4697.996221	7632.067315	5636.571909	10410.78711	6304.755882	6366.1283	10271.06934	12281.21667	9008.018511	11464.87822
Protein_103	486196.7121	427235.5634	645098.5666	501034.1083	638407.3023	499550.1869	714080.5111	473117.7964	614283.9588	469344.5561	516587.7478	499979.2877	401992.8333	489558.6363	616478.1569	476649.2956	614790.8117
Protein_104	58034.39918	33082.58114	56829.17984	32198.48318	67197.39903	38797.90862	68028.29583	29271.47678	53807.14349	37786.5313	64535.50975	36162.73685	33804.16496	31385.16291	60469.37373	64440.6117	61884.18973
Protein_105	85712.66521	131378.3138	170011.0063	112998.9169	140286.3144	90295.80011	111082.4098	110724.2368	141000.6894	118901.8382	133019.1733	97002.35319	97524.30636	102343.6327	122043.1003	164482.6971	142277.0303
Protein_106	99641.2124	81940.25789	20817.01929	63122.7821	28820.45652	38382.76587	15579.77481	47202.83751	30590.99194	43005.86012	24414.88884	65706.42553	66907.292	52479.35333	18656.10184	25986.47502	22366.61881
Protein_107	156757.1068	189342.4443	217285.2788	203542.1624	165496.4614	215002.9358	208326.9294	251111.4507	169486.472	249690.5409	198635.6833	224671.482	217490.769	261725.5858	245011.285	226868.6308	229913.1157
Protein_108	29671.41624	33606.69511	29788.07022	30469.16944	25906.46959	34170.47384	37172.70511	25589.88692	34358.38747	27467.9241	29238.71247	30461.97035	32564.83348	26419.39023	36100.10548	30791.73819	32876.89191
Protein_109	275299.9643	291515.8278	274265.966	289866.8757	237177.5895	269201.5529	258562.8578	239567.9729	249116.4733	257516.8645	226552.1711	261059.7954	263335.088	233820.5796	236459.0455	228395.4638	265745.3085
Protein_110	1933.07805	963.0276052	2657.295562	1079.145488	1491.871422	1747.179318	2732.13611	1042.915036	2741.373437	1798.000812	2933.984691	1200.547616	1062.830533	1049.662848	3105.559683	2434.620847	3397.53004
